0,1463,4449,318,252
1,1470,4180,4914,1135
2,1199,1459,4025,528
3,1659,344,3335,4891
4,3440,811,75,2936
5,946,722,59,806
6,1353,534,4512,331
7,561,3185,295,930
8,934,2096,3537,1595
9,2686,926,656,2088
10,302,435,2218,4439
11,4719,4606,3768,926
12,3726,842,2113,1951
13,3148,3687,2579,252
14,4678,30,3392,501
15,1626,3915,942,966
16,257,867,952,2764
17,632,2592,3915,996
18,2094,3448,3473,4119
19,666,4493,1120,1115
20,580,1367,553,1782
21,754,1853,4595,176
22,3776,100,134,2577
23,3278,2430,1348,2210
24,1611,524,1199,1882
25,790,4982,3173,725
26,192,375,1139,361
27,75,461,844,3615
28,535,437,764,626
29,4190,208,2966,4189
30,935,183,3351,4231
31,4712,4653,2795,2398
32,4724,925,4388,4483
33,997,510,127,45
34,409,2387,1167,3083
35,699,482,61,790
36,417,4417,4539,1423
37,4577,3889,1915,5009
38,1445,4834,3370,1884
39,698,871,1680,997
40,42,3203,65,2522
41,598,2996,3493,3821
42,65,3203,1152,801
43,629,494,2857,1680
44,204,836,742,1398
45,995,64,809,2067
46,2993,3836,159,205
47,215,1321,363,2603
48,2742,440,3337,4692
49,142,2664,3437,3060
50,1354,197,252,688
51,2529,2896,3290,2689
52,2204,2212,4901,1294
53,2231,4285,2830,1816
54,1606,70,4289,4482
55,174,4131,166,2221
56,577,273,1014,3045
57,2245,1428,376,2348
58,4404,732,2243,3882
59,4932,1600,4102,847
60,4790,2822,3151,4095
61,35,699,319,495
62,2580,823,754,21
63,1828,509,2580,2395
64,2067,45,2872,3398
65,42,336,801,1876
66,441,127,906,742
67,269,989,2453,97
68,207,3279,387,992
69,2144,3467,1312,4209
70,54,1354,447,713
71,4726,245,4394,1282
72,4657,809,2612,2496
73,4102,150,329,289
74,734,1380,3094,3317
75,27,3440,4,3169
76,2280,1803,1705,1281
77,159,2651,595,273
78,333,3290,986,2018
79,740,1462,603,3025
80,204,44,1398,1160
93,81,944,1263,4246
82,2303,3948,923,357
83,195,798,4310,255
84,1372,1065,355,954
85,3929,1960,2332,3730
86,1209,2411,453,1873
87,325,2677,4903,340
88,712,2719,1199,2411
89,961,1046,1583,4250
90,2486,1202,747,1723
91,3202,4313,4206,896
92,3782,4249,2088,3392
93,81,944,1263,4246
94,570,746,581,626
95,916,1218,2457,338
96,673,922,2965,534
97,1190,61,67,3648
98,114,503,3339,702
99,4572,3552,4531,1611
100,134,2577,22,4732
101,3155,3924,2808,4473
102,4673,676,986,3545
103,178,4657,480,334
104,2824,2876,3913,4027
105,4514,3997,832,2549
106,3634,2313,3088,747
107,2201,3277,4161,4386
108,609,4892,421,220
109,1339,1205,893,830
110,1207,2328,3238,2997
111,3164,3949,730,210
112,3428,1721,1024,2943
113,1917,2634,2654,278
114,3829,233,98,2218
115,547,929,2189,117
116,1200,888,3959,718
117,115,35,4386,88
118,4857,2724,2168,3314
119,483,2739,935,793
120,922,2849,4626,4193
121,1996,2045,1925,3284
122,3360,2705,4212,4301
123,2328,110,912,1207
124,489,1125,271,3425
125,883,255,4579,147
126,4702,3873,2728,2361
127,1206,71,994,986
128,199,4014,4261,4260
129,2179,3147,4114,4646
130,954,35,2578,531
131,614,619,413,874
132,4999,4684,819,397
133,4068,2016,3794,1204
134,4732,100,22,2842
135,4614,1689,4937,4787
136,2379,3667,4836,4314
137,2549,3786,4797,1524
138,397,1262,4684,405
139,2845,1220,253,1107
140,4565,758,546,725
141,667,3929,2332,3730
142,4790,658,49,592
143,4559,921,2381,3428
144,4801,1985,714,4374
145,274,2761,80,651
146,2796,1398,836,4844
147,1293,2902,510,1654
148,4221,292,4200,3369
149,656,3016,549,601
150,73,4102,1395,747
151,4860,578,662,647
152,4937,3427,3484,1497
153,3633,4030,2475,4439
154,2121,974,3265,175
155,2700,1030,2226,387
156,522,918,591,354
157,335,2797,2635,4732
158,358,2667,401,1915
159,77,837,205,548
160,4775,4556,3123,4326
161,392,3303,732,208
162,3697,116,718,2263
163,626,3013,471,3405
164,679,957,1246,773
165,2089,2065,1851,6
166,1278,3209,1506,4164
167,4717,2279,3492,2649
168,622,866,608,903
169,988,1933,2334,2149
170,4186,1864,1705,2991
171,448,1837,866,3863
172,2124,2206,3169,796
173,4579,2491,3281,2580
174,872,55,955,2302
175,3436,563,3641,2898
176,754,21,697,4633
177,4903,340,325,2574
178,4413,103,4657,4158
179,1071,2676,4794,860
180,3877,1840,2335,1796
181,1540,346,538,4086
182,740,734,1147,3446
183,935,30,3351,1723
184,2511,4530,2390,3419
185,971,1733,3506,2457
186,1139,192,2208,375
187,2001,3461,245,71
188,4401,917,1842,385
189,4117,719,2965,2271
190,1659,4366,4886,3708
191,2329,509,653,239
192,375,186,2208,1139
193,3066,1957,249,955
194,4221,2810,697,907
195,83,798,2593,2477
196,1034,1911,3436,4588
197,922,1477,3514,1949
198,600,397,4684,916
199,128,4528,2653,4974
200,530,4739,3436,1717
201,3243,4558,2177,4136
202,3854,4072,4290,1409
203,411,368,4846,4749
204,44,80,3907,1398
205,159,77,837,46
206,993,1749,437,1010
207,68,1744,973,856
208,3464,29,392,161
209,1710,2082,693,3580
210,730,441,957,2302
211,922,4024,3982,57
212,4869,539,631,2257
213,236,1026,510,467
214,4417,417,1720,177
215,375,363,47,275
216,451,265,703,3391
